date,enso_mei,pdo_index,aao_index
1924-06-01,,-0.39,
1924-07-01,,-1.01,
1924-08-01,,-1.41,
1924-09-01,,-1.73,
1924-10-01,,-2.13,
1924-11-01,,-1.4,
1924-12-01,,-0.27,
1925-01-01,,-0.93,
1925-02-01,,-0.62,
1925-03-01,,-0.65,
1925-04-01,,-1.14,
1925-05-01,,-0.51,
1925-06-01,,-1.03,
1925-07-01,,-0.69,
1925-08-01,,-0.72,
1925-09-01,,0.09,
1925-10-01,,0.26,
1925-11-01,,0.94,
1925-12-01,,0.72,
1926-01-01,,1.12,
1926-02-01,,1.26,
1926-03-01,,1.23,
1926-04-01,,1.81,
1926-05-01,,2.29,
1926-06-01,,1.63,
1926-07-01,,2.14,
1926-08-01,,1.7,
1926-09-01,,1.62,
1926-10-01,,1.79,
1926-11-01,,2.55,
1926-12-01,,2.11,
1927-01-01,,0.91,
1927-02-01,,1.33,
1927-03-01,,0.89,
1927-04-01,,-0.03,
1927-05-01,,-0.12,
1927-06-01,,0.56,
1927-07-01,,-0.28,
1927-08-01,,-0.76,
1927-09-01,,0.03,
1927-10-01,,-0.63,
1927-11-01,,-0.24,
1927-12-01,,-0.08,
1928-01-01,,0.45,
1928-02-01,,0.75,
1928-03-01,,0.88,
1928-04-01,,0.42,
1928-05-01,,0.48,
1928-06-01,,0.96,
1928-07-01,,-0.68,
1928-08-01,,-0.86,
1928-09-01,,-1.79,
1928-10-01,,-1.05,
1928-11-01,,0.09,
1928-12-01,,0.6,
1929-01-01,,0.83,
1929-02-01,,0.24,
1929-03-01,,0.04,
1929-04-01,,0.23,
1929-05-01,,0.48,
1929-06-01,,0.6,
1929-07-01,,0.03,
1929-08-01,,-0.12,
1929-09-01,,1.01,
1929-10-01,,1.02,
1929-11-01,,0.64,
1929-12-01,,1.55,
1930-01-01,,1.29,
1930-02-01,,0.77,
1930-03-01,,0.3,
1930-04-01,,0.19,
1930-05-01,,0.1,
1930-06-01,,0.02,
1930-07-01,,-0.0,
1930-08-01,,-0.2,
1930-09-01,,0.33,
1930-10-01,,0.01,
1930-11-01,,-0.02,
1930-12-01,,0.84,
1931-01-01,,1.25,
1931-02-01,,1.18,
1931-03-01,,1.14,
1931-04-01,,1.61,
1931-05-01,,2.0,
1931-06-01,,1.76,
1931-07-01,,2.08,
1931-08-01,,0.74,
1931-09-01,,0.85,
1931-10-01,,0.09,
1931-11-01,,-0.21,
1931-12-01,,-0.84,
1932-01-01,,-1.22,
1932-02-01,,-1.63,
1932-03-01,,-0.65,
1932-04-01,,0.49,
1932-05-01,,-0.03,
1932-06-01,,-0.15,
1932-07-01,,-0.23,
1932-08-01,,-0.29,
1932-09-01,,-1.14,
1932-10-01,,-0.02,
1932-11-01,,-0.32,
1932-12-01,,0.16,
1933-01-01,,-0.7,
1933-02-01,,-1.08,
1933-03-01,,-1.05,
1933-04-01,,-0.84,
1933-05-01,,-1.83,
1933-06-01,,-2.36,
1933-07-01,,-3.32,
1933-08-01,,-2.92,
1933-09-01,,-2.97,
1933-10-01,,-1.83,
1933-11-01,,-0.49,
1933-12-01,,-0.66,
1934-01-01,,-0.41,
1934-02-01,,0.1,
1934-03-01,,0.88,
1934-04-01,,1.26,
1934-05-01,,0.79,
1934-06-01,,-0.27,
1934-07-01,,0.18,
1934-08-01,,1.23,
1934-09-01,,1.13,
1934-10-01,,1.91,
1934-11-01,,1.64,
1934-12-01,,1.51,
1935-01-01,,0.72,
1935-02-01,,0.11,
1935-03-01,,-0.26,
1935-04-01,,0.1,
1935-05-01,,0.73,
1935-06-01,,1.23,
1935-07-01,,0.62,
1935-08-01,,0.35,
1935-09-01,,0.42,
1935-10-01,,0.4,
1935-11-01,,0.23,
1935-12-01,,1.53,
1936-01-01,,2.17,
1936-02-01,,1.6,
1936-03-01,,1.19,
1936-04-01,,1.19,
1936-05-01,,1.64,
1936-06-01,,2.24,
1936-07-01,,2.79,
1936-08-01,,1.95,
1936-09-01,,0.98,
1936-10-01,,2.15,
1936-11-01,,2.83,
1936-12-01,,1.52,
1937-01-01,,0.06,
1937-02-01,,-0.45,
